Index,SeriesName,SeriesCode,CountryName,CountryCode,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
66,GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,25.91629349,22.24268195,21.87481947,21.76097975,18.16777373,18.11645965,18.93021863,20.32430499,19.58253598
67,GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,7.291058897,7.444504768,7.789776381,8.369886755,9.096870646,9.628347487,10.15283281,10.48590716,10.80867212
68,GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,3.281667502,3.408784916,3.522773698,3.779642319,3.994636913,4.173301666,4.451450981,4.472892371,4.619985258
69,GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,0.651135364,0.717050738,0.769003943,0.78723807,0.769256014,0.732291075,0.85557364,0.878599613,0.962839909
70,GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,0.703663719,0.616376432,0.634662809,0.623310882,0.603401118,0.661456725,0.738549945,0.77834991,0.697294927
71,GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,4.908573542,5.378733644,5.489113841,5.407089963,5.576833337,5.811375322,6.124929967,6.145842411,6.609586425
72,GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1.287954058,1.337335431,1.393955951,1.402100156,1.38911952,1.265987633,1.294239746,1.435351756,1.272490925
73,GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2.0883153,2.144342611,2.102593166,2.206051934,2.302201379,2.342584651,2.453727896,2.505776752,2.574912191
74,GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,35.14248793,36.7308767,38.40377771,40.31528556,42.43188828,43.73110682,46.16585651,48.54340099,48.71347375
75,GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,14.21616561,12.95068652,13.68751406,14.26701215,12.70689121,13.09050673,14.60585435,16.41018726,16.73182151
76,GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,47.51687469,45.91002054,49.52223658,54.24193464,52.56442918,61.46680395,71.31093926,72.96870423,66.94483308
77,GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1.458103527,1.443879529,1.449605912,1.573881492,1.605605434,1.732564262,1.98165105,2.005863005,2.099599048
78,GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3.643043936,3.694348946,3.623911582,3.491624791,3.331695128,3.562845756,3.837651731,3.893846425,4.135569263
79,GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,6.036396243,6.829963954,7.07687718,6.818804621,4.989803075,4.777197619,5.205288255,5.834166211,5.95510901
80,GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,51.8489097,48.91789761,51.59018859,55.49298256,61.9954228,63.1970824,69.82234708,78.62122793,78.66095646
81,GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,33.66924648,32.51123785,36.30946883,37.67888977,35.77679516,37.32162404,40.54186209,41.71972544,43.59208358
82,GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,38.59906221,35.05352624,35.5499747,35.51841529,30.2302263,30.93971425,32.40672032,34.61575689,33.22823668
83,GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5.111471413,5.209851931,4.989171391,4.833790318,4.90750372,4.843338474,5.069183838,5.354236859,5.582263778
84,GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,48.16799727,48.60347665,40.45444746,38.10941211,34.52446986,38.76181815,38.38651115,39.15942356,40.24688013
85,GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,3.852752767,3.909907569,4.043749038,4.130879055,4.164107876,4.17658891,4.234403133,4.312180117,4.405488412
86,GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,11.6340019,12.3867,13.89063177,12.80726069,10.51077189,7.714841844,9.247581331,9.812601405,9.812390376
87,GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,0.971633329,1.136871406,1.210388014,1.315804535,1.336883349,1.410527568,1.572335496,1.707986805,1.816546916
88,GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1.735018358,1.788505421,1.715765331,1.642762597,1.54257525,1.584807446,1.640500104,1.698256286,1.655078839
89,GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,25.09626388,25.46676052,27.18273431,29.24957522,28.73223108,29.28887044,31.6168434,33.42294421,31.84621823
90,GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,3.741875052,3.596804655,3.891266363,4.080330717,3.603025501,3.780003689,4.045614209,4.419914327,4.417524062
91,GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,48.6316913,51.97910517,49.38813741,44.06231704,29.86952939,27.65306677,29.75943649,33.99438192,32.00044847
92,GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1.123883168,1.177974735,1.282437162,1.279769783,1.121082835,1.120666513,1.242769643,1.308140165,1.309392992
